name,price
StatTrak™ USP-S | Cyrex (Minimal Wear),7.83
Autograph Capsule | Fnatic | MLG Columbus 2016,2.56
AUG | Navy Murano (Factory New),2.51
AWP | Atheris (Battle-Scarred),1.62
P250 | Asiimov (Well-Worn),3.28
StatTrak™ SSG 08 | Abyss (Field-Tested),0.86
AUG | Arctic Wolf (Field-Tested),1.6
Glock-18 | Neo-Noir (Well-Worn),8.26
StatTrak™ MAG-7 | Popdog (Field-Tested),0.18
SG 553 | Danger Close (Minimal Wear),0.15
PP-Bizon | Brass (Field-Tested),0.92
Aces High Pin,9.89
StatTrak™ Negev | Dazzle (Minimal Wear),1.29
MP7 | Special Delivery (Factory New),2.75
StatTrak™ Galil AR | Sandstorm (Field-Tested),1.01
"StatTrak™ Music Kit | Feed Me, High Noon",6.87
'Blueberries' Buckshot | NSWC SEAL,1.71
StatTrak™ SSG 08 | Ghost Crusader (Field-Tested),2.21
USP-S | Cortex (Minimal Wear),5.55
AWP | PAW (Factory New),4.91
P90 | Shallow Grave (Minimal Wear),3.39
StatTrak™ Desert Eagle | Light Rail (Well-Worn),3.82
M4A1-S | Decimator (Battle-Scarred),4.47
PP-Bizon | Judgement of Anubis (Well-Worn),4.89
StatTrak™ Desert Eagle | Directive (Minimal Wear),5.43
StatTrak™ SSG 08 | Parallax (Minimal Wear),3.75
P2000 | Pathfinder (Factory New),10.6
FAMAS | Survivor Z (Field-Tested),0.26
P250 | Cyber Shell (Minimal Wear),0.68
StatTrak™ CZ75-Auto | Polymer (Field-Tested),0.25
PP-Bizon | Photic Zone (Minimal Wear),0.46
MP9 | Bioleak (Factory New),0.33
P250 | Inferno (Field-Tested),0.46
Five-SeveN | Triumvirate (Field-Tested),1.1
MAG-7 | Petroglyph (Field-Tested),0.25
PP-Bizon | Osiris (Field-Tested),0.43
MAC-10 | Calf Skin (Field-Tested),0.12
StatTrak™ M4A4 | Magnesium (Well-Worn),1.18
MAC-10 | Rangeen (Well-Worn),0.22
Galil AR | Stone Cold (Field-Tested),1.12
AK-47 | Elite Build (Well-Worn),1.26
SG 553 | Heavy Metal (Minimal Wear),0.36
Galil AR | Sandstorm (Field-Tested),0.58
SG 553 | Damascus Steel (Well-Worn),0.67
Desert Eagle | Urban Rubble (Minimal Wear),0.55
MP7 | Motherboard (Minimal Wear),0.12
